Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Interest","Vol/OI Ratio",IV,Time
SGYP,2.98,Call,3,09/15/17,34,0.20,0.25,0.30,0.28,749,111,6.75,72.26%,08/11/17
TGT,55.65,Put,54,08/18/17,6,0.85,0.89,0.92,0.88,4072,615,6.62,61.63%,08/11/17
SYF,29.2,Call,29,08/18/17,6,0.50,0.58,0.65,0.5,3101,469,6.61,34.29%,08/11/17
CSCO,31.47,Put,29,11/17/17,97,0.50,0.55,0.59,0.58,2091,320,6.53,24.04%,08/11/17
BAS,16.52,Call,30,10/20/17,69,0.00,0.25,0.25,0.65,2500,385,6.49,79.23%,08/11/17
CSX,50.27,Put,48,09/15/17,34,0.82,0.87,0.91,0.85,1932,299,6.46,30.38%,08/11/17
AAPL,157.48,Put,140,09/29/17,48,0.80,1.04,1.27,0.9,740,115,6.43,29.57%,08/11/17
LL,35.62,Put,37,08/18/17,6,1.60,1.75,1.90,1.7,688,108,6.37,53.13%,08/11/17
BP,34.94,Call,35,09/15/17,34,0.67,0.69,0.70,0.69,1147,180,6.37,16.67%,08/11/17
XOM,78.21,Call,78.5,08/18/17,6,0.44,0.47,0.49,0.49,860,135,6.37,16.24%,08/11/17
ALRM,40.8,Call,42.5,12/15/17,125,2.60,2.75,2.90,2.85,690,109,6.33,35.98%,08/11/17
AMZN,967.99,Call,962.5,08/11/17,1,5.15,5.6,6.05,5.7,2457,390,6.3,0.00%,08/11/17
VRX,13.89,Put,16.5,08/25/17,13,2.56,2.67,2.77,2.67,2025,325,6.23,65.81%,08/11/17
WYNN,125.63,Call,125,08/25/17,13,2.96,3.08,3.20,3.1,689,113,6.1,30.14%,08/11/17
JCP,3.93,Call,4,08/11/17,1,0.00,0.01,0.01,0.01,4055,674,6.02,0.00%,08/11/17
STLD,34.54,Call,37,01/19/18,160,1.75,1.85,1.95,1.95,1000,166,6.02,30.32%,08/11/17
AHGP,26.47,Call,20,01/19/18,160,6.70,7.1,7.50,7.5,1500,250,6,43.16%,08/11/17
AU,9.71,Put,12,08/18/17,6,2.25,2.35,2.45,2.15,900,150,6,130.17%,08/11/17
AVEO,2.91,Call,4,09/15/17,34,0.15,0.23,0.30,0.21,3576,603,5.93,153.07%,08/11/17
MSFT,72.5,Call,72,09/08/17,27,1.42,1.49,1.55,1.5,1470,248,5.93,15.46%,08/11/17
GSK,38.79,Call,40,11/17/17,97,0.60,0.7,0.80,0.7,1275,215,5.93,14.54%,08/11/17
FORM,13.65,Call,17.5,01/19/18,160,0.30,0.4,0.50,0.5,1200,203,5.91,40.42%,08/11/17
GES,13.33,Call,15,01/19/18,160,0.70,0.8,0.90,0.8,1011,171,5.91,39.51%,08/11/17
SPLK,58.2,Put,50,01/18/19,524,4.90,5.15,5.40,5.3,608,103,5.9,35.05%,08/11/17
HD,154.88,Put,157.5,08/18/17,6,3.75,3.88,4.00,3.86,1114,189,5.89,32.24%,08/11/17
AAPL,157.48,Put,157.5,08/11/17,1,0.02,0.04,0.05,0.03,55865,9581,5.83,0.00%,08/11/17
NEM,36.53,Call,40,06/15/18,307,2.70,2.79,2.88,2.83,600,103,5.83,30.03%,08/11/17
DD,80.97,Put,80,09/15/17,34,1.09,1.37,1.65,1.44,820,141,5.82,19.12%,08/11/17
CSIQ,17.2,Call,18.5,08/18/17,6,0.35,0.43,0.50,0.5,608,105,5.79,112.18%,08/11/17
SU,32.41,Put,28,01/19/18,160,0.62,0.7,0.78,0.63,2500,441,5.67,28.91%,08/11/17
NTES,280.96,Call,280,08/11/17,1,0.35,1.03,1.70,1.2,759,135,5.62,0.00%,08/11/17
VRX,13.89,Call,13.5,08/11/17,1,0.35,0.38,0.41,0.37,1348,243,5.55,0.00%,08/11/17
TSLA,357.87,Call,357.5,08/11/17,1,0.45,0.59,0.73,0.49,7065,1280,5.52,0.00%,08/11/17
LLY,81.15,Put,84,08/18/17,6,2.70,2.85,3.00,1.47,2250,409,5.5,14.61%,08/11/17
CAG,34.8,Call,47,01/18/19,524,0.30,0.4,0.50,0.45,852,156,5.46,18.37%,08/11/17
X,23.16,Call,23,08/25/17,13,0.91,0.95,0.98,0.94,1094,201,5.44,51.45%,08/11/17
WFC,51.94,Call,52,08/11/17,1,0.00,0.03,0.03,0.03,1009,186,5.42,0.00%,08/11/17
TEVA,17.3,Call,17,08/11/17,1,0.29,0.32,0.35,0.32,5011,935,5.36,0.00%,08/11/17
BABA,151.7,Call,148,08/18/17,6,7.20,7.4,7.60,7.1,1113,208,5.35,76.28%,08/11/17
GOOG,914.39,Put,912.5,08/11/17,1,0.00,0.05,0.05,0.08,660,124,5.32,0.00%,08/11/17
AMC,14.05,Call,15,12/15/17,125,1.00,1.13,1.25,1.1,1104,209,5.28,45.60%,08/11/17
CRM,88.29,Call,100,02/16/18,188,2.30,2.43,2.56,2.24,960,182,5.27,24.54%,08/11/17
AABA,57.92,Put,70,08/18/17,6,11.85,12.65,13.45,16.1,5250,1000,5.25,135.98%,08/11/17
MAN,106.85,Put,120,08/18/17,6,12.50,13.05,13.60,11.3,1232,235,5.24,0.00%,08/11/17
XOM,78.21,Call,78.5,08/11/17,1,0.00,0.01,0.01,0.01,799,155,5.15,0.00%,08/11/17
VIAB,30.66,Call,31,08/18/17,6,0.35,0.4,0.45,0.4,715,140,5.11,38.33%,08/11/17
NHI,76.54,Call,70,10/20/17,69,6.60,6.85,7.10,9.3,601,118,5.09,15.16%,08/11/17
SBUX,53.18,Call,53.5,08/11/17,1,0.00,0.01,0.01,0.01,2453,484,5.07,0.00%,08/11/17
Q,88.91,Put,90,08/18/17,6,1.10,1.48,1.85,0.7,1756,347,5.06,19.80%,08/11/17
NVDA,155.96,Call,152.5,08/11/17,1,3.30,3.45,3.60,3.5,2761,547,5.05,0.00%,08/11/17
SPNC,38.45,Call,31,08/18/17,6,5.20,7.6,10.00,8.44,1000,200,5,122.87%,08/11/17
