Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Interest","Vol/OI Ratio",IV,Time
CENX,13.8,Call,15,08/18/17,7,0.12,0.15,0.17,0.18,653,150,4.35,74.43%,08/10/17
SEAS,12.68,Put,17,01/19/18,161,4.40,4.65,4.90,4.45,40566,9344,4.34,45.94%,08/10/17
CF,30.76,Call,22.5,08/18/17,7,8.15,8.8,9.45,8.3,630,146,4.32,225.41%,08/10/17
BAC,24.12,Call,18,10/20/17,70,6.10,6.15,6.20,6.15,702,163,4.31,0.00%,08/10/17
CMCSA,40.73,Put,41,08/18/17,7,0.58,0.6,0.61,0.53,534,124,4.31,21.59%,08/10/17
CELG,130.37,Put,128,08/11/17,0,0.15,0.21,0.27,0.17,579,135,4.29,35.84%,08/10/17
AMZN,956.92,Call,977.5,08/11/17,0,0.33,0.4,0.47,0.42,771,181,4.26,27.04%,08/10/17
TSLA,355.4,Call,362.5,08/11/17,0,0.60,0.69,0.77,0.7,3781,892,4.24,39.76%,08/10/17
GOOGL,923.59,Call,940,08/11/17,0,0.30,0.38,0.45,0.4,899,212,4.24,23.23%,08/10/17
RF,14.3,Put,14,09/15/17,35,0.32,0.34,0.36,0.32,1102,260,4.24,27.91%,08/10/17
TSLA,355.4,Call,365,08/11/17,0,0.35,0.39,0.43,0.44,11633,2757,4.22,40.75%,08/10/17
MBI,10.38,Call,10.5,08/18/17,7,0.20,0.25,0.29,0.26,620,147,4.22,56.28%,08/10/17
AMZN,956.92,Put,952.5,08/11/17,0,3.55,3.78,4.00,3.8,743,177,4.2,28.72%,08/10/17
TXN,80.36,Call,81,08/18/17,7,0.73,0.77,0.81,0.79,906,216,4.19,25.54%,08/10/17
TWLO,30.28,Call,31,08/11/17,0,0.09,0.12,0.15,0.1,4130,989,4.18,58.59%,08/10/17
HOLX,37.39,Put,38,08/18/17,7,0.75,0.83,0.90,0.85,1503,362,4.15,23.95%,08/10/17
CAR,32.29,Call,33,09/15/17,35,1.65,1.78,1.90,1.7,724,175,4.14,52.84%,08/10/17
CEQP,24.75,Call,22.5,08/18/17,7,2.10,2.3,2.50,4,700,169,4.14,50.21%,08/10/17
MOMO,42.57,Put,43,08/11/17,0,0.70,0.78,0.85,0.55,1602,388,4.13,59.71%,08/10/17
TSLA,355.4,Put,357.5,08/11/17,0,4.05,4.25,4.45,4.21,6130,1502,4.08,41.56%,08/10/17
XOM,78.97,Put,79,08/18/17,7,0.65,0.69,0.73,0.67,5296,1309,4.05,16.87%,08/10/17
WAT,175.66,Put,170,09/15/17,35,2.25,2.38,2.50,2.45,1199,298,4.02,22.48%,08/10/17
BABA,151.77,Put,137,08/18/17,7,0.76,0.87,0.97,0.93,683,171,3.99,71.29%,08/10/17
MCD,156.62,Put,157.5,08/11/17,0,0.95,1.03,1.10,1.03,3473,875,3.97,14.05%,08/10/17
NFLX,169.14,Put,170,09/08/17,28,6.45,6.7,6.95,6.69,1035,261,3.97,34.41%,08/10/17
ATHM,56.46,Put,50,09/15/17,35,0.50,0.63,0.75,0.7,529,134,3.95,42.21%,08/10/17
