FSLR,45.44,Call,50.5,07/28/17,2,0.32,0.35,0.37,0.35,1102,200,5.51,188.69%,07/26/17
TSLA,343.85,Put,342.5,07/28/17,2,2.90,3,3.10,2.95,2440,444,5.5,50.79%,07/26/17
LVS,61.65,Call,63.5,07/28/17,2,0.52,0.59,0.65,0.58,1798,328,5.48,99.99%,07/26/17
LRCX,168.34,Put,165,08/18/17,23,4.10,4.35,4.60,4.14,1043,191,5.46,36.26%,07/26/17
CAB,58.07,Put,50,08/18/17,23,0.25,0.48,0.70,0.7,2186,401,5.45,54.62%,07/26/17
MMM,199.03,Put,195,08/04/17,9,0.46,0.49,0.52,0.47,759,140,5.42,15.98%,07/26/17
NFLX,189.08,Call,187.5,09/01/17,37,7.60,7.78,7.95,7.8,590,109,5.41,29.05%,07/26/17
INTC,34.75,Call,36,08/04/17,9,0.16,0.18,0.20,0.19,3431,637,5.39,29.21%,07/26/17
EW,115.61,Put,110,07/28/17,2,1.80,2.05,2.30,2.05,834,155,5.38,181.99%,07/26/17
CELG,137.75,Call,143,07/28/17,2,0.44,0.49,0.54,0.49,778,145,5.37,74.33%,07/26/17
IP,56.39,Call,59,07/28/17,2,0.03,0.06,0.09,0.06,707,133,5.32,59.81%,07/26/17
ADI,80.72,Call,85,01/19/18,177,3.30,3.4,3.50,3.5,2802,528,5.31,22.25%,07/26/17
BA,233.45,Put,220,08/18/17,23,0.95,1.01,1.06,1,1093,206,5.31,23.47%,07/26/17
FB,165.61,Call,187.5,08/04/17,9,0.10,0.18,0.25,0.2,1728,327,5.28,46.59%,07/26/17
JD,45.87,Call,46,07/28/17,2,0.38,0.42,0.45,0.48,999,190,5.26,49.68%,07/26/17
MGM,33.87,Put,34,08/04/17,9,0.96,1.01,1.06,1.05,576,110,5.24,47.31%,07/26/17
BA,233.45,Put,220,09/15/17,51,1.94,2.06,2.17,2.06,867,166,5.22,20.49%,07/26/17
ADP,105.98,Call,115,01/19/18,177,2.40,2.58,2.75,2.5,1301,250,5.2,19.17%,07/26/17
WYNN,132,Call,135,09/15/17,51,4.60,4.68,4.75,4.69,13805,2672,5.17,30.33%,07/26/17
WYNN,132,Call,130,08/04/17,9,3.00,3.5,4.00,3.79,565,110,5.14,30.33%,07/26/17
PYPL,58.79,Call,60,09/15/17,51,1.82,1.98,2.14,2.06,966,188,5.14,28.54%,07/26/17
AIG,65.19,Call,66,08/11/17,16,0.85,0.91,0.97,0.84,1426,280,5.09,23.80%,07/26/17
SLB,66.99,Put,47.5,01/18/19,541,1.45,1.58,1.71,1.45,1294,256,5.05,29.09%,07/26/17
IRBT,106.49,Call,105,08/18/17,23,5.90,6.1,6.30,6,659,131,5.03,51.07%,07/26/17
